Point no;Nu Name;I/D;Crop;Province;Lat(-);Long (  );Cultivar;Planting date;Tillers;Plants / 10m;Row width;Ears;Moist %;Grain mass
T1A;;D;YM;EC;-31.25799; 28.68619;PAN508R;2018/01/18;1;17;0,96;17;12,40;219,59
T1B;;D;YM;EC;-31.25792; 28.68608;PAN508R;2018/01/18;;;0,96;12;10,60;285,69
T1C;;D;YM;EC;-31.25732; 28.68558;PAN508R;2018/01/18;;;0,96;11;9,80;241,24
T1D;;D;YM;EC;-31.25739; 28.68540;PAN508R;2018/01/18;;;0,96;8;10,70;284,53
T1E;;D;YM;EC;-31.25743; 28.68612;PAN508R;2018/01/18;;;0,96;12;9,90;230,25
T2A;;D;YM;EC;-31.25859; 28.68716;MONSANTO(73.76BR);2017/11/04;4;24;0,90;27;11,80;71,16
T2B;;D;YM;EC;-31.25816; 28.68688;MONSANTO(73.76BR);2017/11/04;;;0,90;25;16,30;153,80
T2C;;D;YM;EC;-31.25789; 28.68658;MONSANTO(73.76BR);2017/11/04;;;0,90;25;11,90;114,55
T2D;;D;YM;EC;-31.25741; 28.68664;MONSANTO(73.76BR);2017/11/04;;;0,90;18;14,00;112,48
T2E;;D;YM;EC;-31.25720; 28.68634;MONSANTO(73.76BR);2017/11/04;;;0,90;19;15,30;118,16
T3A;;D;YM;EC;-31.25573; 28.72281;ROUNDUP READY;2017/11/04;0;22;0,82;22;11,20;124,57
T3B;;D;YM;EC;-31.25573; 28.72273;ROUNDUP READY;2017/11/04;;;0,82;27;10,30;174,29
T3C;;D;YM;EC;-31.25568; 28.72253;ROUNDUP READY;2017/11/04;;;0,82;20;10,60;181,65
T3D;;D;YM;EC;-31.25559; 28.72211;ROUNDUP READY;2017/11/04;;;0,82;37;11,70;131,13
T3E;;D;YM;EC;-31.25549; 28.72205;ROUNDUP READY;2017/11/04;;;0,82;23;10,20;162,17
K4A;;D;WM;EC;-31.60091; 28.43918;KKS4581BR;2018/01/05;5;22;1,00;27;13,30;150,91
K4B;;D;WM;EC;-31.60032; 28.43880;KKS4581BR;2018/01/05;;;1,00;28;12,70;103,60
K4C;;D;WM;EC;-31.60030; 28.43847;KKS4581BR;2018/01/05;;;1,00;26;11,70;75,30
K4D;;D;WM;EC;-31.60021; 28.43832;KKS4581BR;2018/01/05;;;1,00;25;11,20;92,36
K4E;;D;WM;EC;-31.60042; 28.43808;KKS4581BR;2018/01/05;;;1,00;28;11,20;137,50
K5A;;D;YM;EC;-31.59942; 28.44287;N/A;2018/01/05;2;32;0,92;31;11,40;163,88
K5B;;D;YM;EC;-31.59922; 28.44289;N/A;2018/01/05;;;0,92;21;10,80;119,98
K5C;;D;YM;EC;-31.59929; 28.44317;N/A;2018/01/05;;;0,92;25;11,10;96,35
K5D;;D;YM;EC;-31.59924; 28.44318;N/A;2018/01/05;;;0,92;31;10,60;110,39
K5E;;D;YM;EC;-31.59929; 28.44336;N/A;2018/01/05;;;0,92;34;10,80;98,46
K6A;;D;WM;EC;-31.59830; 28.44599;KK4581BR;2017/12/15;4;23;0,92;21;12,30;153,58
K6B;;D;WM;EC;-31.59817; 28.44607;KK4581BR;2017/12/15;;;0,92;15;13,00;102,76
K6C;;D;WM;EC;-31.59828; 28.44632;KK4581BR;2017/12/15;;;0,92;22;12,40;101,16
K6D;;D;WM;EC;-31.59799; 28.44642;KK4581BR;2017/12/15;;;0,92;22;12,90;198,45
K6E;;D;WM;EC;-31.59814; 28.44639;KK4581BR;2017/12/15;;;0,92;19;9,70;59,76
K7A;;D;WM;EC;-31.65376; 28.67061;PAN ROUNDUP;2017/12/22;21;26;0,76;25;13,40;116,63
K7B;;D;WM;EC;-31.65364; 28.67014;PAN ROUNDUP;2017/12/22;;;0,76;29;15,30;128,64
